,Station,Station_ID,1,2,3,4,5,6,7,8,9,10,TIME,PM
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,22,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,22,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,6,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,14,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,19,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,14,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,14,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,8,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,5,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,20,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,12,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,14,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,13,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,14,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,2
